x	y	z	t	dist
0.190597	178.349	29.4565	27.166	9.85135
0.0523232	177.783	29.3679	27.2183	9.27546
-0.0874152	177.165	29.2711	27.2745	8.64745
-0.255183	176.592	29.1811	27.3279	8.06273
-0.386276	176.034	29.0938	27.3795	7.49838
-0.531452	175.438	29.0004	27.4345	6.89633
-0.648588	174.825	28.9043	27.4904	6.27993
-0.750088	174.23	28.811	27.5439	5.68282
-0.834682	173.67	28.7232	27.5942	5.12266
-0.914429	173.111	28.6356	27.6442	4.56509
-0.988095	172.521	28.5432	27.6965	3.97845
-1.03661	171.928	28.4502	27.7489	3.38881
-1.06933	171.284	28.3493	27.8053	2.75008
-1.09088	170.651	28.25	27.8607	2.12358
-1.09061	170.078	28.1602	27.9107	1.55786
-1.07319	169.5	28.0697	27.9612	0.991138
-1.03351	168.853	27.9682	28.0181	0.384557
-0.984794	168.259	27.8751	28.0706	0.342723
-0.914923	167.653	27.7802	28.1244	14.0298
-0.813289	167.046	27.6851	28.1788	13.4151
-0.713504	166.427	27.588	28.2341	12.7884
-0.5907	165.835	27.4952	28.2877	12.1859
-0.451094	165.225	27.3997	28.3432	11.5647
-0.321465	164.661	27.3113	28.3943	10.9903
-0.16043	164.113	27.2254	28.4449	10.4291
0.0071106	163.512	27.1312	28.5002	9.81566
0.201409	162.921	27.0386	28.5555	9.21248
0.365342	162.311	26.9428	28.612	8.59314
0.519449	161.763	26.857	28.6624	8.03927
0.691948	161.161	26.7627	28.7181	7.43331
0.83827	160.603	26.6753	28.7699	6.87495
0.992047	160.045	26.5878	28.8217	6.31972
1.12288	159.471	26.4978	28.8742	5.75136
1.25863	158.895	26.4074	28.9267	5.18646
1.347	158.289	26.3126	28.9806	4.59345
1.43486	157.661	26.2142	29.037	3.98401
1.48745	157.052	26.1186	29.0913	3.39375
1.52409	156.442	26.0231	29.1449	2.80867
1.54562	155.85	25.9302	29.1972	2.24865
1.5461	155.251	25.8363	29.2498	1.69525
1.52923	154.665	25.7445	29.3016	1.18693
1.48833	154.068	25.6509	29.3541	0.767369
1.42373	153.422	25.5498	29.4113	0.694807
1.33997	152.807	25.4534	29.4666	14.062
1.25593	152.241	25.3647	29.5173	13.4898
1.15083	151.683	25.2771	29.5679	12.9216
1.04433	151.106	25.1867	29.62	12.3355
0.91863	150.55	25.0995	29.671	11.7666
0.766909	150.014	25.0156	29.7213	11.2151
0.622182	149.401	24.9196	29.7773	10.5882
0.444725	148.859	24.8346	29.8283	10.0277
0.305452	148.272	24.7426	29.8823	9.42807
0.149996	147.735	24.6584	29.9326	8.87691
0.00107786	147.173	24.5703	29.9847	8.30264
-0.183553	146.573	24.4763	30.0404	7.68881
-0.326957	146.028	24.3908	30.0912	7.13444
-0.453497	145.452	24.3006	30.1437	6.55202
-0.585267	144.852	24.2066	30.1986	5.94695
-0.693131	144.238	24.1104	30.2542	5.33022
-0.789556	143.68	24.0229	30.3045	4.77128
-0.874061	143.096	23.9312	30.3566	4.18704
-0.924933	142.472	23.8335	30.4122	3.56487
-0.958064	141.903	23.7444	30.4623	2.99819
-0.976957	141.308	23.6511	30.5147	2.40561
-0.975415	140.708	23.557	30.5675	1.80719
-0.950227	140.087	23.4597	30.622	1.18747
-0.910429	139.477	23.3642	30.6757	0.578808
-0.85502	138.901	23.2738	30.7265	0.0556201
-0.763453	138.264	23.1739	30.7831	14.2595
-0.650196	137.663	23.0798	30.8369	13.6499
-0.546789	137.065	22.9861	30.8908	13.0444
-0.412516	136.468	22.8925	30.9451	12.4367
-0.245624	135.883	22.8009	30.9991	11.8396
-0.10627	135.272	22.7051	31.055	11.219
0.0731073	134.713	22.6174	31.1076	10.6477
0.227026	134.11	22.5229	31.1631	10.0359
0.401651	133.495	22.4265	31.22	9.41318
0.551781	132.93	22.3379	31.2717	8.84308
0.73493	132.332	22.2442	31.3278	8.24187
0.88193	131.725	22.1491	31.3834	7.63505
1.017	131.175	22.063	31.4336	7.08864
1.1538	130.561	21.9667	31.4893	6.48036
1.26376	129.96	21.8725	31.5434	5.88843
1.3421	129.392	21.7835	31.5945	5.32954
1.42139	128.798	21.6904	31.6472	4.74913
1.4677	128.202	21.597	31.6999	4.16597
1.49675	127.594	21.5017	31.7534	3.57274
1.5148	127.017	21.4113	31.8043	3.01321
1.5104	126.382	21.3118	31.86	2.39994
1.48279	125.779	21.2173	31.913	1.82202
1.43987	125.179	21.1231	31.966	1.26257
1.36343	124.59	21.0309	32.0183	0.753365
1.28417	124.002	20.9387	32.0707	0.492137
1.1898	123.388	20.8425	32.1256	14.2569
1.08548	122.822	20.7538	32.1768	13.6819
0.936883	122.272	20.6676	32.2272	13.1166
0.829402	121.71	20.5795	32.278	12.5455
0.657845	121.114	20.4861	32.3334	11.9329
0.480124	120.527	20.3941	32.3875	11.329
0.326004	119.96	20.3052	32.4401	10.748
0.184267	119.359	20.2109	32.4956	10.1356
0.00116767	118.75	20.1155	32.5518	9.5125
-0.137283	118.128	20.0181	32.6091	8.88175
-0.293407	117.56	19.929	32.6612	8.30438
-0.411247	116.968	19.8363	32.7139	7.70724
-0.53121	116.399	19.7471	32.7643	7.13297
-0.650803	115.735	19.643	32.8211	6.4656
-0.74285	115.121	19.5467	32.8731	5.84986
-0.820567	114.513	19.4515	32.9236	5.24215
-0.893568	113.838	19.3457	32.9789	4.568
-0.93889	113.138	19.2359	33.0354	3.86927
-0.967636	112.469	19.1312	33.0883	3.20267
-0.976074	111.771	19.0217	33.1439	2.50607
-0.967856	111.134	18.9219	33.1944	1.8705
-0.938727	110.474	18.8185	33.2466	1.21144
-0.88477	109.803	18.7133	33.2999	0.539033
-0.826939	109.154	18.6116	33.3515	0.119567
-0.753636	108.525	18.513	33.4016	14.1589
-0.661956	107.856	18.4081	33.4551	13.4832
-0.525061	107.173	18.301	33.5102	12.7895
-0.399597	106.499	18.1954	33.5646	12.1064
-0.235962	105.819	18.0889	33.62	11.4144
